	<=5 cm	>5-10 cm	>10-20 cm	>20-30 cm	>30-40 cm	>40 cm	< 5 years	5-10 years	10-15 years	> 15 years	NA	fusiform	compressiform	hemispherical	sagitiform	anguilliform	indifferent	rheophil	oligorheophil	stagnophil	omnivor	invertivor	piscivor	filter-feeder	herbivor	meso-eurytherm	oligo-stenotherm	non-migrating	potamodrom	katadrom	kurz 	mittel 	lang	non-migrating	lithophil	phytophil	psammophil	speleophil	pelagophil	ostracophil	<=1,000	>1,000-10,000	>10,000-100,000	>100,000-1,000,000	>1,000,000	<1	1	>1	1	2+	male and female	male	otherwise protected	none	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Frühjahr	Sommer	Herbst	Winter	all-season	spawning season	none	yes	no	Indigenous	Neobiota	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient	critically endangered	endangered	vulnerable	near threatened	no threat evident	data deficient
Proterorhinus.seminlunaris	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0						0	0	1	0	1	0	1	0	0	0,125	0,125	0,125	0,125	0,125	0,125	0,125	0,125	0	0	0	0	0,375	0,375	0	0,25	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0
Pseudorasbora.parva	0	0	1	0	0	0	0	1	0	0	0	0,5	0,5	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0,5	0,5	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0,5	0,5	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Rhodeus.amarus	0	0	1	0	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0
Romanogobio.albipinnatus	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Romanogobio.uranoscopus	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0									0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0
Rutilus.rutilus	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,5	0,5	0	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Rutilus.virgo	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Salmo.trutta	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0,5	0,5	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0,5	0,5	0	0	0	0	1	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
Salvelinus.fontinalis	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0,5	0,5	0	0	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0,166666667	0,166666667	0,166666667	0	0	0	0	0	0	0,166666667	0,166666667	0,166666667	0,166666667	0	0,333333333	0,5	0	1	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0
Sander.lucioperca	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Scardinius.erythrophthalmus	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Silurus.glanis	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0
Squalius.cephalus	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0,666666667	0,333333333	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Telestes.souffia	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Thymallus.thymallus	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	0	0
Tinca.tinca	0	0	0	0	0	1	0	1	0	0	0	0,5	0,5	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	1	0
Vimba.vimba	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0,333333333	0,666666667	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0
Zingel.streber	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0,5	0,5	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
Zingel.zingel	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0,333333333	0,333333333	0,333333333	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
