FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_mehrjaehrige_Graeser	%ivk07_unbekannt			%ivk13_Wein	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% Flieﬂgewaesser	%Hafenbecken	% stehende_Gewaesser
AP054	0	65.54838513	38.48977184	299.6345772	434.0707338	2.809153719	16.35049018	21.00399968	99.32567392	0	0	0.039880768	8.155501699	0	0	0.363991977	0	0	14.20784011			0	8.225809698	0.160923792	31.65984525	45.13235029	0.13865566	0	1.087919616	11.34308016	0	0	0	0.004126037	2.141451826	0	0	0.029431469	0	0.076406198	5.038929779	0.00115227	0.645871846	2.38283094	0	0.112998295	5.636924588	0.518882589	0	7.887255502	6.903598145	0	0	58.2108606	0	4.436010367	1.615065229	4.267496964	0	0.156011753	0	0	2.097636896	0	0.088474233
AP058	0	124.7723056	33.74922779	272.8362902	369.4032522	84.95266883	4.853967703	13.8890275	35.57421426	33.26567732	0	8.769498836	2.92320575	1.014092635	0	1.709270154	0	0	12.28730115			0	14.19534743	0.96009844	25.36556679	33.03882157	3.076998571	0.148218874	4.024851354	16.02064001	0	0	0	2.412731244	0.302517896	0.122930868	0.101378141	0.166782723	0	0.063116093	9.910635364	0	1.069897231	1.108372003	0	0.101621557	10.19426328	0.434315254	0	4.022397891	5.41765916	0	0.361824545	57.22777241	0	2.468403681	1.647122767	4.546486242	0	0.077096294	0	0.292764826	0.956271537	0	0.163095963
AP062	0	59.40010441	36.20920469	247.5822945	471.8012217	54.88215487	3.368202194	11.78667975	66.70952265	0	0	0.35640372	29.61389188	0	2.590407912	0	0	0	15.69991176			0	9.640482176	0.546627848	24.5409335	42.07815652	6.498495941	0.052891894	1.760310316	12.28979054	0	0	0	0.19936159	1.389990735	0	0.179678023	0.37065402	0	0.452626896	6.489129871	0	0.31606622	1.64064163	0	0.101558808	6.836111782	0.358978216	0	5.933244342	3.638980125	0.164516062	0.211467959	63.88327875	0.173520714	2.111856315	1.573480238	4.315948747	0	0.019544382	0	0	2.060832298	0	0.17084354
AP064	0	65.75690605	65.16422692	219.6449149	499.98535	50.35094168	0	10.23903582	16.20125743	1.593420457	23.73313571	12.01965563	13.93646527	3.543607226	6.754029081	0	0	0	11.0770539			0	6.000814284	3.474632147	20.55131433	50.93569063	5.487558717	0	0.998120555	7.71104421	0	0	2.28907249	1.558709659	0.462739898	0.530303076	0	0	0	0	2.878486587	0.20341965	0.293236485	1.601937026	0	0.026295782	4.849062091	0.306380731	0	11.13029093	3.957062261	0	0	67.41488124	0	0.80978638	1.653389022	3.271471598	0	0.064389573	0	0	1.366323241	0	0.173587409
AP067	0	76.61263527	62.37719579	339.0259331	223.3492253	219.7388658	3.055118794	11.12983889	24.53999409	1.575859324	3.138774648	12.71113399	14.44424637	0	0.012053938	0.843481228	0	0	7.44564349			0	11.92828854	1.221983642	32.16752539	20.2551811	20.21368225	0.26912566	1.451018221	9.964689608	0	0	0.295090953	0.174233398	1.950706763	0	0	0	0	0.108474483	4.870634358	0.136809947	0.508652204	0.908083291	0	0.074099521	3.419813193	0.322412879	0	11.05268343	7.204947656	0	0	61.97759138	0	2.305447691	1.707609489	2.776389154	0	0.030698992	0	0.576297296	1.747523705	0	0.380305805
AP068	0	63.879584	30.7465223	262.6854167	500.5336892	24.14207587	0	41.99199922	12.58493487	0	0	0	43.05729035	0	13.54690403	0.342588325	0	0	6.488995089			0	16.80515627	0.071430962	20.9067324	45.98405201	4.027261438	0	1.208984248	3.296307958	0	0	0	0	2.495440643	0	0.342604698	0	0	4.86202937	1.615806033	0	1.500410098	1.613427721	0	0	2.048658615	0.001144438	0	22.48171625	6.15522878	0	0	55.82773684	0	2.602238684	1.592350524	2.180224561	0	0.323415389	0	0	1.256857123	0	0.800784945
AP070	0	34.15457584	41.83066639	485.4495798	228.9840411	97.63850478	5.333699102	2.657254094	2.428966667	0	0	18.96491126	66.44002831	0	2.226366492	0	0	0	13.89140617			0	2.190892875	1.177065481	47.41642095	21.93692358	12.71733452	0.136197292	0.617056607	1.95210291	0	0	0	2.178598423	9.116695415	0	0.320369367	0	0	0.24034259	4.390314015	0.186273216	1.662409695	2.269832511	0	0	1.657926601	1.118974165	0	3.454310106	2.029396513	0	0	67.67341784	0	5.160855419	2.527765754	4.070083288	0	0.030389346	0	1.639628454	1.514138482	0	0.614284597
AP073	0	137.1293559	42.88994707	158.7448903	469.5184691	158.4817776	0	0	10.34667043	0	0	10.06226213	0	0	0.064440056	0	0	0	12.76218748			0	23.35937372	0.583111651	12.40264934	38.09340171	17.59880774	0	0.20316643	6.724396775	0	0	0	0	0	0.257749887	0	0	0	0.777342745	0.036775785	0	0.122333219	0.170415459	0	0	0.568951081	0	0	0.700954768	10.07025566	0	0	81.54299806	0	4.006715589	1.431810532	0.540065873	0	0	0	0	0.808723963	0	0
AP074	0	64.81908899	29.44319641	292.5520434	461.2784145	93.82044376	0	15.8696572	33.47144144	0	0	0	0	0	0	0	0	0	8.745714251			0	12.3759345	0.746722425	18.98403463	41.56043439	12.90350476	0	0	12.82920039	0	0	0.600168908	0	0	0	0	0	0	0	0.022086765	0	0	1.270286674	0	0	0.548779977	0	0	0.911776565	2.303838346	0	0	90.58499502	0	0.520207745	1.589185075	1.111749856	0	0	0	0	0.842885823	0	0.294208155
AP075	0	0	49.20567694	567.0266551	90.53679892	280.2291704	0	0	4.731618343	0	0	3.63245493	0	0	0	0	0	0	4.637625421			0	2.626169915	1.899004078	55.08754029	7.196338308	20.8258658	0	2.580346879	6.28234378	0	0	0	0	3.062748486	0	0	0	0	0.43964246	0.920655506	1.022956794	0.364887783	4.064829631	0	0	0.546494493	1.638524773	0	21.50441004	5.41576475	0	0	41.41517218	0.01928086	4.655318637	2.197807172	1.695305207	0	0	0	1.230687845	0.517460179	0	12.79044415
