FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%FlaecheBesondererFunktionalerPraegung	%FlaecheGemischterNutzung	%Friedhof	%Halde	%IndustrieUndGewerbeflaeche	%SportFreizeitUndErholungsflaeche	%TagebauGrubeSteinbruch	%Wohnbauflaech	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
UM007	15.37905724	8.145478448	0	0.629636401	2.929442588	0	2.311454525	0	0	24.98468087	2.884594761	10.27166219	3.071308119	29.00302593	0.177269475	0.212389453	0	0	0	23.36567446	9.266870278	0	0	2.340139781	0	1.123820934	0	0	13.06048802	0.507469419	6.443756408	7.43254919	34.2027749	0.012750228	0	2.243706379	0	0	3.124926465	1.222210546	0.008006217	0	0.439668314	2.831363159	1.065756644	0.569585887	0	3.390576905	5.966690537	0	0	34.04518251	0	14.84508132	0	2.32774613	0.00807011	0.287081276	0	0	11.02780792	0	18.84024606
UM008	0	0.139663569	0	1.104354961	7.667542337	0	0.063548024	0.155868514	0	4.179623837	9.329035768	1.901148277	43.28406784	25.77260093	2.775267121	0.588378124	0.08764882	2.951251878	0	0	0	0	1.120980441	5.139703892	0	0	0	0	0.67352671	6.121676506	2.48480216	50.66650194	24.3217258	3.73556405	0	2.92267612	2.81284238	0	0.179015169	0.877651834	0	0	3.859691884	5.045286295	1.351958596	3.310290995	0	0.368172396	10.491579	0	0	29.22665508	0	7.067379692	0	4.787726014	1.214576886	0.028565414	0	0.718876688	7.346946515	0	24.12562753
UM013	0.003966219	0.252595973	0	0.00475139	8.134518314	0	0.349140723	0	0.01376952	2.344498592	3.168219037	7.427671867	37.07586456	36.34479984	1.967686263	1.064772459	1.022713258	0.825031981	0	0.004001492	0.236531407	0	0.002918227	6.659953596	0.177648501	0.324305173	0	0.013891926	1.300674636	6.780945259	2.382202054	37.20886905	38.58782412	1.616154891	0.732445599	1.496814764	2.435335461	0.039483845	0.396003937	2.753579109	0.178486136	0	3.04269214	2.359918503	0.319045911	5.714493633	0	8.599376345	8.620749632	0	0.150064928	54.81924888	0	5.907238656	0	4.88350964	0.003241745	0.387600818	0	0.381349228	0.353343311	0.006227469	1.123829975
UM016	0.126417429	0	0	0	6.350888158	0	0.193589419	0	0	2.260021668	2.395777945	5.107183214	55.91743963	21.5822786	3.762754797	1.500523744	0.803125393	0	0	0.3150786	0.263162705	0	0	5.64599018	1.201105008	0.159568146	0	0	1.018374236	11.20794974	0.9653556	54.77626315	21.39101128	1.510355433	0.046737216	0.282794667	1.21625404	0	1.19847097	4.757675371	0.187287657	0	2.586754585	1.733827688	0	11.95009427	0	2.069969769	6.60246113	0	0	53.87241218	0	3.558071185	0	8.211740122	0.001508558	0.133427361	0	0	1.240655475	0	1.89564368
UM028	0	0.203847061	0	0	11.3900473	0.936776479	0.179417073	0	0.779876807	0.398167263	7.216449611	5.353307734	47.90549745	19.33690722	3.26496812	0.222842696	2.258315588	0.550566501	0.003013094	0	0.180705201	0	0	8.546527357	0.076235173	1.036605353	0.110349175	0.74863282	3.575386703	10.35053807	1.869822441	45.83399552	18.1415298	3.616169754	0.242065487	2.988155961	2.680323037	0.002958138	0.265614328	3.778839256	0.045348649	0	1.785289761	1.434260349	0	3.899013178	0	11.16989703	5.319261113	0	0.046267911	62.84283141	0.002396396	1.518391581	0	3.747874621	0.081974026	0.04718938	0	0.000261502	2.207864832	0	1.807424667
UM038	0.773565289	0.019554453	0	0	5.173974471	0	0.197850571	0.086449954	0	1.891205842	2.093671374	7.866033363	42.32383639	39.14127531	0.021284706	0	0.411298282	0	0	0.790059955	0	0	0	12.1671186	0	0.13799332	0	0	0.537744625	2.523254659	6.618441545	33.90951982	40.78524655	0	0	0.688521458	1.842099474	0	0.754581565	2.392634591	0.371220827	0.043241587	2.164865668	4.69106882	0	17.0468219	0	24.88099322	5.962815348	0	0	29.77793979	0	3.054869735	0	7.492818293	0	0.373226296	0	0.150798032	0.061440351	0	0.780663973
UM119	0	0	0	0	7.215762147	0	0.033108094	0	0	0.727347545	6.955117967	4.906947687	25.71696844	50.5121317	1.65469305	0.384988989	1.560386129	0.332548248	0	0	0.006940675	0	0.132377369	10.63109839	0	0.051319982	0	0	0.279317082	7.591551261	2.169087316	22.67915731	51.40490547	1.311027872	0.542240599	1.781743811	1.419232866	0	0.194510435	2.996013004	0.01709265	0	1.343593226	1.983642749	0	3.495948471	0	9.158447401	6.296195978	0	0.083024212	59.91932766	0	5.387911602	0	4.986586354	0	0.065895784	0	0	0.207190175	0	3.864620296
UM160	0	0.193500457	0	0	11.83735962	0.873125915	0.01335132	0	0	1.047204149	1.923877017	7.177965585	26.4138399	49.67520821	0.357413139	0	0.487154685	0	0	0	0.292812974	0.176469509	0	6.668271424	0	0.427625898	0	0	0.127929751	1.464439501	5.640296963	31.23096938	50.22339849	2.277481424	0.213521641	0.201131656	1.055651385	0	0.468726139	4.126753404	0.196317718	0	2.223035362	2.183053835	0	5.02496972	0	11.30096753	6.516387554	0	0	53.98688236	0	4.214551263	0	6.515831903	0	0.213296792	0	0.351916352	0.320695175	0	2.356614891
UM161	0	0.00420914	0	0.009065106	14.8137308	0.031510312	0.241374302	0	0	0.750008072	3.812639702	6.665412841	47.79554402	24.3666768	0.277823211	0.175776958	0.869852767	0.186375967	0	0	0.037453616	0	0	9.798430425	0.002256135	0.934914586	0	0	0.21473575	7.055939792	3.72458954	51.65469669	22.68216215	0.726465474	1.117077736	1.567378154	0.284394386	0.199505562	0.450897302	2.495894754	0.05999024	0	1.026034384	1.43673607	0.043069352	2.101131149	0	22.98523488	4.434891003	0.036504564	0	57.03850036	0	2.831647749	0	2.665796809	0	0.061798038	0	0.435129265	1.231694814	0	0.665049263
UM041	0	0.16173225	0	0.109032715	5.873076045	0.014321394	0.364009105	0	0	2.982205871	6.058934617	7.16183781	62.76612051	5.768908936	6.751560533	0.505684451	0.650233849	0.832341909	0	0	0.144156805	0	0.009044245	7.977669879	0.003832899	0.305315522	0	0	2.756555756	8.401309411	3.616800576	58.70108564	5.901017615	7.149770145	0.27787593	2.016122975	2.717271067	0.022171532	0.387718378	3.195406295	0.15955757	0	1.848534563	1.386239019	0.543684434	3.506266488	0	5.635267833	4.16635122	0	0	70.79294076	0	3.646777803	0	3.395112152	0	0.063662835	0	0.639407335	0.120176884	0	0.512896431
