FWK_CODE_K	%ivk07_Wein	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk13_Wein	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%UnlandVegetationsloseFlaeche	%Sumpf	%Moor	%Landwirtschaft	%Heide	%Gehoelz	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
RE003	0	0.027846874	0.352276375	0.025951717	0.904589576	0	0.02835793	0.073752291	0.408247809	1.412685564	10.58946453	3.222329893	28.31916046	51.33425626	0.317395112	0.148820414	2.596017287	0.238847903	0	0	0	0.218154255	0.050594536	0.953753817	0.146117591	0.359040549	0.012673001	0.390093608	0.661945329	14.37660404	0.751028647	27.02903574	52.54118788	0.155715393	0.24820624	1.607588042	0.459128873	0.039132465	4.210798732	0	0.909987892	1.484536664	0	0.123496209	4.841987682	0.485284778	0	18.62052743	7.210384667	0.155717124	0.090697358	50.79279057	0	1.884911669	1.838162017	4.425992117	0	0.113038578	0	1.356561714	0.890958815	0	0.564165977
RE005	0	0.180180722	0	1.54715697	2.667416916	3.614808197	0	0	0	6.451718612	11.657802	13.96049603	26.51138787	24.51096253	3.150950051	0.708034628	0.896468081	4.142617381	0	0	0	0	5.190501388	3.73996847	3.709216075	0.686654698	0.923424982	0	0.474109063	10.76650897	9.049532025	25.51398154	27.7809268	2.888930636	2.159343399	1.867663021	5.046195408	0.203043518	5.651275352	1.392315192	6.000766756	7.575246341	0	0.065887619	0.432448787	0.914996949	0	3.649665527	7.351183234	0.006840224	0	25.03127545	0.327102586	8.140862783	3.525854557	6.069778648	0.393923602	0.543464667	0	0	4.452528122	0.581320428	17.89326317
RE009	0	0	4.513599595	1.240522179	0.056318332	0	0.108466092	0	0	1.39003747	4.039450446	2.548231099	3.677000899	77.39963046	1.657481561	0.520004226	0	2.849257638	0	0	0	3.262365529	0	0.056690091	0	0.019165811	0	0	0	8.130494401	1.409514732	6.288588624	78.85357809	1.387112744	0	0.592489982	0	0	7.473837399	0	2.055694009	5.692283993	0	0.432186658	2.228347213	0.333139407	0	15.90984153	8.401564732	0	0	33.05322505	0	6.221584873	1.462424493	4.87597667	0	0.246247312	0	3.991856534	2.385803704	0	5.235986427
RE015	0	0	0	1.1630923	8.483955844	0	0.911497028	0	0	5.46388872	2.944256603	6.54719309	30.86444865	41.50434581	0.06849997	0.900624119	0.707480991	0.440716882	0	0	2.421077609	0	0.129249544	2.475280467	0.082188705	0	1.036904115	0	1.131863986	12.09245909	2.745955064	29.37196664	45.39025215	0	0.654357872	0.849686359	1.618758399	0	3.113309034	0.540651987	5.22455876	2.425270275	0	0.002981272	0.689879101	0.571918853	0	3.596591136	9.345228924	0	0	43.41280851	0	6.704992826	1.50550879	3.977107596	0.028762884	0.127336212	0	0.08174485	6.424233497	0	12.2271155
RE016	0	0	0	1.054897778	0	0	0	1.359556997	0	5.223597757	0	9.080733785	60.51157668	21.47748448	1.292152524	0	0	0	0	0.006413542	0	0	4.157771426	0	0	0	0	0	0.204138566	0	11.27625021	67.87730417	16.47812208	0	0	0	0	0	18.83655907	0	18.13634078	5.785390764	0	0	2.36994683	5.472861617	0	3.758246524	5.387488215	0	0	5.874494106	0	3.084229056	1.872035833	10.81373842	0.041470301	0.279411446	0	0.395115871	0.046196956	1.086613727	16.75986048
RE075	0	0	0	0.0448123	5.784779161	0	0.038262448	0	0.53864354	3.647867428	12.89427672	10.47530047	36.95166532	20.64929889	0.534000848	0	8.441092873	0	0	0	0	0	0	2.005466488	0	1.159556255	0	0.546324938	0	18.31581674	5.108589584	40.66083271	22.86441014	0.236731813	0	7.621127361	1.481143968	0	14.26750441	0	4.92200942	4.457879112	0	0.229915934	5.001173874	1.782760183	0	8.786448843	9.79450495	0	0	34.14238702	0	3.370102471	2.196354457	7.920233711	0	1.38216962	0	0.334926606	0.542321576	0	0.869307811
RE113	0	0	0	0	0.816202617	0	0.850491924	0	1.543035017	0.660982681	7.202432569	2.301689937	17.57837002	64.85076226	0	0.738431422	3.457601552	0	0	0	0.00445769	0	0	2.95193756	0.10435114	1.284506998	0	1.396714071	0.883995206	8.901315988	0.632629697	19.65324675	59.07876638	0	0.426901923	4.208750649	0.472425949	0	3.630016936	0.021772695	1.362982633	1.739794657	0	0.010456452	2.459210466	0.469353616	0	31.28640268	7.462129316	0.059485933	0.007203019	37.05345414	0	3.504179207	1.561444878	4.036109637	0	0.255467085	0	2.958830854	0.97111813	0	1.150587663
RE123	0	0	0	0	1.358023181	0	0	0	0	0.891737847	7.201634047	3.496637274	26.64805614	56.44308921	0.070889419	0	3.889932884	0	0	0	0	0	0	1.256068741	0	0	0	0.256815464	0.428815436	10.99062313	0.367363076	23.3365325	58.73221359	0	0.110246971	4.521321091	0	0	3.345320912	0	0.805771026	1.137293447	0	0.09228698	2.389931912	0.954208156	0	29.43989263	12.19525438	0	0	39.43967036	0	3.786783444	1.747787614	2.589796823	0	0.033228764	0	0.058020827	0.753980743	0	1.230771978
RE169	0	0	0.727868631	16.90647803	0.800621663	1.710862449	0.326178776	0.247769334	0	5.481766215	4.492101886	4.284190958	30.84564377	26.26831212	6.87650993	0	0.79053548	0.24116076	0	0	0	0.582337566	21.06907516	0	0.785985272	1.915049242	0.484309895	0	3.356330822	11.08778581	1.477147228	25.17602916	26.53190707	5.280850958	0	0.969538198	1.283653619	0	10.19378663	0	5.981369088	5.402390674	0	0.156616587	2.930707252	1.777744583	0	10.40239318	9.417054143	0	0	32.53790752	0	4.320119455	2.240703442	8.580960771	0	0.501629324	3.512000373	0.634118924	0.614701975	0	0.79579608
RE274	0	0.023936873	0	0.009651741	3.740940147	0	0.111547001	0	0.024753815	0.771401397	7.409885392	3.322440302	32.67671036	49.4758629	0.778915016	0.204189223	1.43187758	0.017888249	0	0	0.491555617	0	0.015221198	2.932107664	0.003321321	0.171853487	0	0.025385614	0.255119277	11.90526337	0.889391671	31.32651538	49.25316759	0.33482494	0.305488147	1.715521994	0.330008407	0.045254319	1.712445402	0	0.771167851	0.846126949	0	0.062474326	4.330881034	0.166715294	0	12.27090205	6.764904302	0.018577389	0	63.49301641	0	1.975632924	2.490834315	3.472815906	0	0.034906654	0	0.289361833	0.43839112	0	0.860846238
RE074	0	0	0	0	1.565718181	0	0	0	0	0.425949637	7.99922951	5.422058592	31.18212429	49.25950802	0	0	4.145411777	0	0	0	0	0	0	2.355801377	0	0	0	0	1.023583626	9.523019601	4.644688998	24.09389368	53.80064368	0	0	4.558369041	0	0	4.718208359	0	0.842059589	3.205147698	0	0.093157935	4.193735606	0.358450693	0	6.166125758	16.3957704	0	0	42.55734679	0	4.999404769	1.848097652	11.71857337	0	0	0	0	0.316949173	0	2.586972201
