FWK_CODE_K	%ivk07_Wein	%ivk07_Ackerfutter	%ivk07_Flaechenstilllegung	%ivk07_Getreide	%ivk07_Gruenland	%ivk07_Hackfruechte	%ivk07_Huelsenfruechte	%ivk07_Klee	%ivk07_Mais	%ivk07_mehrjaehrige_Graeser	%ivk07_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk07_Nutzpflanzen	%ivk07_Obst_und_Gemuese	%ivk07_Oelsaaten	%ivk07_Pflanzenzucht	%ivk07_sonstige_Flaechen	%ivk07_sonstige_Handelsgewaechse	%ivk07_Teichflaechen	%ivk07_unbekannt	%ivk13_Weindis	%ivk13_mehrjaehrige_Obst_und_Nutzpflanzen	%ivk13_Ackerfutter	%ivk13_Flaechenstilllegung	%ivk13_Getreide	%ivk13_Gruenland	%ivk13_Hackfruechte	%ivk13_Huelsenfruechte	%ivk13_Klee	%ivk13_Mais	%ivk13_mehrjaehrige_Graeser	%ivk13_Nutzpflanzen	%ivk13_Obst_und_Gemuese	%ivk13_Oelsaaten	%ivk13_Pflanzenzucht	%ivk13_sonstige_Flaechen	%ivk13_sonstige_Handelsgewaechse	%ivk13_Teichflaechen	%ivk13_unbekannt	%Wohnbauflaeche	%TagebauGrubeSteinbruch	%SportFreizeitUndErholungsflaeche	%IndustrieUndGewerbeflaeche	%Halde	%Friedhof	%FlaecheGemischterNutzung	%FlaecheBesondererFunktionalerPraegung	%Bergbaubetrieb	%Wald	%Gehoelz	%Heide	%Landwirtschaft	%Moor	%Sumpf	%UnlandVegetationsloseFlaeche	%Weg	%Straﬂenverkehr	%Schiffsverkehr	%Platz	%Flugverkehr	%Bahnverkehr	% stehende_Gewaesser	%Hafenbecken	% Flieﬂgewaesser
NR227	0	7.286754566	2.638090657	45.3266727	27.12593403	0	0.980122076	12.78579694	0	0	0	0	0	0	0	3.856629042	0	0	0	0	0	4.308334776	5.447788416	12.14717556	60.11017304	0	0	3.273677347	0	0	0	0	0	0	14.71285086	0	0	0	3.738947239	0	0.62931175	1.433110452	0	0	1.113950633	5.779081876	0	32.94149118	4.575337505	0.015283377	29.11578311	0.03455529	0	14.23285239	1.322648355	3.493097858	0	0.076944455	0	0	0.319735262	0	1.177869263
NR202	0	4.590930869	1.118102052	19.94111012	62.81348963	0.002615143	0	2.358730409	0	0	0	0	0	2.829186855	0	0.251033438	0	5.069660058	1.025141424	0	0	12.85651346	0.153958616	12.73446694	61.87754813	0	0	3.365445947	0	0	0	0	2.527413011	0	1.243648112	0	4.830727263	0.410278519	2.524295764	0	0.612504357	0.676653916	0	0	2.719447845	0.108331567	0	25.55328087	4.198379224	0	45.83960052	0	0.119872064	7.55288374	1.679975538	2.235195899	0	0.146301287	0	0.366885877	4.411033282	0	1.255358245
NR212	0	12.53878338	0.349668177	38.51432104	26.18543661	4.425791737	0.316971397	5.831680128	0	0	0	0	0	4.316503691	0	0	0	7.443717598	0.077126246	0	0	16.39555398	2.75032173	22.71075522	25.82957765	5.330256783	0	7.867262624	0	0	0	0	9.791619202	0	0.948551065	0	6.986611822	1.389489928	3.424130881	0	0.118963036	0.298178425	0	0	4.657080973	0.249261189	0	15.45325139	3.046908027	0	45.89994032	0	0	7.739567698	2.534034428	2.950859744	0	0	0	0.184097896	12.90314613	0	0.540579875
NR034	0	6.679292448	3.503071406	60.08957042	26.25430428	0	0	1.568406596	0	0	0	0	0	0	0	0	0	1.905354846	0	0	0	1.675274465	0	67.66056789	25.57514591	0	0	2.608564426	0	0	0	0	0	0	0.593466224	0	1.886981087	0	0.32815126	0	0.03583808	0.00244396	0	0	0.449020633	0	0	57.58640678	0.513152513	0	29.24220881	0	0	5.918284538	2.521169381	0.601218346	0	0	0	0	1.700880669	0	1.10122503
NR038	0	6.27950966	2.022664713	25.805385	42.76173166	0	0.105229819	4.508292887	0	0	0.012492271	0	0	6.192546311	0.014857163	0.102950873	0	11.64760509	0.546734552	0	0	13.35872492	0.439046751	24.79338979	39.01503577	0	0	4.605213164	0.141430962	0.015919781	0	0	5.319221415	0.014823793	0.091349856	0	11.12358596	1.082257838	1.794607797	0.007179231	0.229113463	0.992017316	0.037316052	0	2.055986881	0.033014104	0	20.08734508	0.809055809	0	53.85986123	1.149652958	0.995295792	7.449120495	1.369462362	2.423237168	0	0	0	0.301458719	5.803196871	0	0.603078678
NR061	0	7.324930773	0.924841835	27.99347202	56.72968862	0.397630486	0	1.884027304	0	0	0.068924441	0	0	2.08718826	0	0.268261133	0	0.859895314	1.461139816	0	0.128590841	6.957517527	0.127559834	24.52045663	59.57617673	0	0.104260062	3.129163195	1.265427004	0.073959791	0	0	2.530550935	0	0.307020541	0	0.916808591	0.362508314	3.146587219	0.004482153	2.530539399	2.090848814	0	0.178087936	1.732983615	1.400963602	0	26.84137924	3.313860402	0	37.31758974	0.050247083	0	12.20021568	1.605381271	3.851814173	0	0.240952332	0	0.518376323	1.663112187	0	1.31257883
NR084	0	6.869700551	2.942275973	29.46130939	50.60990799	0	0.373257407	6.208446722	0	0	0.039935213	0	0	0.882030552	0	0.18386825	0	0.009809092	2.419458859	0	0.416016009	16.15647946	0.536618683	24.04052273	50.8494178	0.01170414	0	6.236424679	0	0	0	0	0.964014315	0	0.447393194	0	0.017992526	0.323416464	2.920915806	0.021575055	0.463960761	0.847252871	0	0.024755896	1.876683669	3.552977144	0	26.77744487	4.297308347	0.003688183	32.52374077	0	0.065057136	18.79450806	1.777394304	2.195344682	0	0.050209912	0	0.3906285	2.104340519	0	1.312213512
NR101	0	0	10.18617626	16.61755282	52.78351934	0	0	0	0	0	0.360904271	0	0	0	0	0	0	20.0518473	0	0	0	0	1.028471935	8.806258781	49.31389994	0	0	13.38242254	0	0	0	0	0	0	0	0	18.02454837	9.444398438	2.219895797	0	0.057072935	0.884421875	0	0	0.656837056	1.098762863	0	47.42405757	5.083757373	0	13.96287435	0	5.370671351	8.313143627	1.976416779	3.000990193	0	0.064550631	0	2.113310634	6.736656199	0	1.036580772
NR119	0	2.665611147	3.106049281	29.98526317	58.83812411	0	0.410637903	2.249284121	0.497433432	0	0	0	0	1.575707443	0	0	0	0	0.671889388	0	0	1.459224739	0	30.64212367	57.14387049	0	0	2.441903449	2.143879371	0.099910653	0	0	6.061020852	0.008066778	0	0	0	0	0.339062669	0	1.185568306	0.783742887	0	0	0.501214908	0.002788579	0	36.53173541	2.690619575	0	28.29035152	0	0	13.83799364	1.978084407	1.551143562	0	0.023649976	0	0	5.571863861	0	6.712180696
NR124	0	5.229353069	2.409101301	31.47298218	52.96132882	0	0	4.4629056	0	0	0	0	0.531277985	1.645890026	0	0	0	0	1.287161026	0	0	8.410633251	0	29.81611246	54.47734377	0	0	3.976916699	0	0.302350289	0	0	1.369154941	0	0.586967251	0.080668872	0	0.979852463	3.609692568	0	1.345380991	1.02684889	0	0.204301718	2.366372166	0.747305285	0	14.84722662	2.328354201	0	50.02494094	2.080730285	0	6.43665702	2.218055037	5.719832046	0	0.0050778	0	0	0.257734075	0	6.781490357
NR133	0	8.864244495	1.05581022	22.60596956	59.55879688	0	0.00118518	3.757374226	0	0	0	0	0	1.139177478	0	0	0	2.399449802	0.61799216	0	0	13.00042917	0.022859022	21.79043993	57.53904805	0.009798569	0.100744049	3.270290187	0.920365475	0	0	0	0.52394643	0	0.063016591	0	2.448129736	0.310932789	1.374271652	0	0.583110153	0.992508971	0	0.011456033	3.488870326	0.05992909	0	13.33462437	3.834830147	0	57.70579166	0.017671788	0	9.85366583	1.420911422	2.999553873	0	0.036056876	0	0.061142086	3.453707011	0	0.771898709
NR134	0	4.03842502	0.702951021	15.38407027	77.30915215	0	0	0.813784374	0	0	0.088213657	0	0	0	0	0.041444535	0	0	1.62195897	0	0	5.053734443	0	12.19646054	80.00306324	0	0	1.984719423	0	0.092338282	0	0	0	0	0	0	0	0.669684072	7.449180977	0	1.640091296	3.478049374	0	0	3.814090977	0.927304086	0	28.0902226	2.236711164	0	34.94918688	0	0	8.812823447	1.047268894	5.646639016	0	0.352381366	0	0.323870053	0.365785425	0	0.866394448
NR149	0	5.172486048	1.258464096	22.8022853	58.62142117	0	0.018757409	9.177962786	0	0	0	0	0	0.947275962	0	0.051997779	0	0.77898106	1.170368386	0	0.119195506	8.644371308	0.211481189	21.42568011	57.58858369	0.260249183	0	10.08727899	0.377764231	0	0	0	0	0	0.091782615	0	0.881255614	0.312357559	3.211048979	0.136083892	0.355778743	1.335528244	0	0.033052119	2.702329821	0.459001134	0	22.66502217	4.25133723	0	47.21995132	0.014207019	0	8.686831777	1.912138485	4.448548509	0	0.021057245	0	0	1.103304078	0	1.444779231
NR150	0	4.979447469	1.049622388	16.73821652	70.71042559	1.091128984	0.112956631	4.734332945	0	0	0	0	0.156153848	0.133765025	0.007294561	0.025356386	0	0.010592766	0.250706881	0	0	9.903080872	0.154161621	15.53264404	70.53549879	0.70105376	0	2.147663092	0.565026397	0	0	0	0.33840545	0	0.087706245	0	0.010644224	0.02411551	2.282660829	0	0.361571831	0.936268587	0	0.075609901	2.909510538	0.24865898	0	8.181928337	2.841316994	0	59.68358207	0.043750674	0.078998461	9.682179849	1.078478132	3.451382445	0	0.048171169	0	0.03555049	0.416972489	0	7.64340823
NR177	0	7.6118633	3.603679424	44.85524557	29.94287226	2.189336033	0.223188908	4.318660798	0.166902419	0	0	0	0	2.308190703	0	0.183227461	0	3.809220498	0.787612626	0	0	13.60273574	0.909113678	42.15857199	28.4192557	2.173105938	0.237279517	4.128342366	0.601977769	0.00047586	0	0	3.586662031	0.01377699	0.522408632	0	3.223939781	0.422354003	1.79294759	0.005991363	0.374143152	0.43657966	0	0.010037567	2.012015607	0.179171823	0	19.72481193	2.940953055	0	54.29891594	0.162082817	0.015328826	7.72516121	2.085857862	3.12269723	0	0.018974629	0.088756899	0.314074881	3.851479441	0	0.840018521
NR215	0	6.86725889	3.466833788	46.48026078	32.91810866	0.056794681	0.150909464	4.187025657	0.250858744	0	0	0	0.00244962	4.523432007	0	0.018829407	0	0.50271215	0.574526154	0	0.163938895	12.51664024	0.929928005	38.9484568	30.04133742	0.041322226	0.575187897	2.885888456	2.713006996	0	0	0.001720186	9.184968878	0	0.474536045	0	0.511767955	1.011300004	4.936793952	0.005894321	0.854892601	0.968765628	0	0.138822572	3.778019954	0.255909842	0	7.32305751	3.394647093	0	56.18570506	0	0	10.62896473	2.454456572	4.607282847	0	0.172874228	0	0.806991834	2.431938509	0	1.054982742
NR020	0	7.692489766	2.479039467	18.84358498	59.92697971	0.344162832	0.084577228	1.692349744	0.164093	0	0	0	0.035467313	1.498336411	0	0.069255632	0	3.067859125	4.101804795	0	0.102978009	7.913733583	0.72817745	17.98293746	63.57963956	0.448443074	0.812205403	2.200848942	0.416643014	0	0	0	2.284639645	0	0.066792205	0	3.136030378	0.326931275	2.766232009	0	1.732554655	2.199786905	0.053270212	0.028676339	2.158483786	1.178829988	0	14.56648729	3.239781988	0	49.6460177	1.641355867	0.09081011	7.626972934	1.617559296	2.530747105	0	0.125789727	0	1.394900691	1.563735022	0	5.838008381
NR118	0	2.833648088	2.127482698	16.03769084	71.84565588	0.123716874	0	5.143732593	0	0	0	0	0	0.102041174	0.297211936	0.072080848	0	0	1.41673907	0	0	5.154187242	0	14.84161492	74.6752979	0.375223277	0.488533416	3.368767688	0	0	0	0	0.085112166	0	0.221726746	0	0.012594516	0.776942129	1.637622829	0.212230143	0.150162255	0.724054879	0	0	2.849101034	0.056537053	0	17.91629724	5.213747672	0	53.85888223	0	0	8.82691775	1.162658976	3.682648416	0	0.043994508	0	0	0.764536966	0	2.900608056
NR064	0	12.3586557	1.240074008	58.38930877	20.81316726	1.72552732	0	1.862863577	0.053727633	0	0	0	0.417445008	2.092717261	0	0	0	0	1.046513456	0	0	16.64699333	0.273390204	47.66191154	20.27373186	6.795149209	3.021491895	2.275089563	0.015070097	0	0	2.037373771	0.987563182	0	0	0	0	0.012235352	1.344327583	0	6.073961991	1.281799013	0	0	1.42179189	1.109720209	0	0	1.731234224	0	61.46891456	0	0	8.794718292	3.699696289	6.017821887	0	0.51259	0	0	0.091975021	0	6.451449042
